MACHINE ATTENDANT,1,35829.0
MACHINE ATTENDANT,2,36585.0
MACHINE ATTENDANT,3,39300.0
MACHINE ATTENDANT,4,39493.0
MACHINE ATTENDANT,5,39671.0
MACHINE ATTENDANT,6,39864.0
MACHINE ATTENDANT,7,39874.0
MACHINE ATTENDANT,8,39979.0
MACHINE ATTENDANT,9,40085.0
MACHINE ATTENDANT,10,40085.0
MACHINE ATTENDANT,11,40085.0
MACHINE ATTENDANT,12,40085.0
MACHINE ATTENDANT,13,40172.0
MACHINE ATTENDANT,14,40286.0
MACHINE ATTENDANT,15,40401.0
SEN PORTER/ATTENDANT,1,41472.0
SEN PORTER/ATTENDANT,2,41678.0
SEN PORTER/ATTENDANT,3,41873.0
SEN PORTER/ATTENDANT,4,41984.0
SEN PORTER/ATTENDANT,5,42103.0
SEN PORTER/ATTENDANT,6,42213.0
SEN PORTER/ATTENDANT,7,42325.0
SEN PORTER/ATTENDANT,8,42445.0
SEN PORTER/ATTENDANT,9,42563.0
SEN PORTER/ATTENDANT,10,42689.0
SEN PORTER/ATTENDANT,11,42813.0
SEN PORTER/ATTENDANT,12,42936.0
SEN PORTER/ATTENDANT,13,43069.0
COMPUTER LAB ATTENDANT,1,33403.0
COMPUTER LAB ATTENDANT,2,34543.0
COMPUTER LAB ATTENDANT,3,36605.0
COMPUTER LAB ATTENDANT,4,36967.0
COMPUTER LAB ATTENDANT,5,36987.0
COMPUTER LAB ATTENDANT,6,37353.0
COMPUTER LAB ATTENDANT,7,37714.0
COMPUTER LAB ATTENDANT,8,38072.0
COMPUTER LAB ATTENDANT,9,38428.0
SENIOR COMPUTER OPERATOR,1,42214.0
SENIOR COMPUTER OPERATOR,2,43823.0
SENIOR COMPUTER OPERATOR,3,45475.0
SENIOR COMPUTER OPERATOR,4,46768.0
SENIOR COMPUTER OPERATOR,5,48067.0
SENIOR COMPUTER OPERATOR,6,49369.0
SENIOR COMPUTER OPERATOR,7,50686.0
SENIOR COMPUTER OPERATOR,8,51968.0
SENIOR COMPUTER OPERATOR,9,53657.0
SENIOR COMPUTER OPERATOR,10,55570.0
VICE PRESIDENT,1,184171.0
ASSOCIATE TEACHER,1,37008.0
ASSOCIATE TEACHER,2,39126.0
ASSOCIATE TEACHER,3,40060.0
ASSOCIATE TEACHER,4,41945.0
ASSOCIATE TEACHER,5,43130.0
ASSOCIATE TEACHER,6,44464.0
ASSOCIATE TEACHER,7,45716.0
ASSOCIATE TEACHER,8,46978.0
ASSOCIATE TEACHER,9,47948.0
ASSOCIATE TEACHER,10,50419.0
COMPUTER OPERATOR,1,33403.0
COMPUTER OPERATOR,2,35114.0
COMPUTER OPERATOR,3,36604.0
COMPUTER OPERATOR,4,37881.0
COMPUTER OPERATOR,5,39133.0
COMPUTER OPERATOR,6,40054.0
COMPUTER OPERATOR,7,41318.0
COMPUTER OPERATOR,8,42586.0
COMPUTER OPERATOR,9,43868.0
COMPUTER OPERATOR,10,45138.0
ASSISTANT LIBRARIAN 1,1,44751.0
ASSISTANT LIBRARIAN 1,2,47050.0
ASSISTANT LIBRARIAN 1,3,49364.0
ASSISTANT LIBRARIAN 1,4,51269.0
ASSISTANT LIBRARIAN 1,5,53605.0
ASSISTANT LIBRARIAN 1,6,55126.0
ASSISTANT LIBRARIAN 1,7,56632.0
ASSISTANT LIBRARIAN 1,8,57745.0
ASSISTANT LIBRARIAN 1,9,59104.0
ASSISTANT LIBRARIAN 1,10,60468.0
ASSISTANT LIBRARIAN 1,11,61415.0
ASSISTANT LIBRARIAN 1,12,62371.0
ASSISTANT LIBRARIAN 1,13,64409.0
ASSISTANT LIBRARIAN 1,14,66805.0
ASSISTANT LIBRARIAN 1,15,69293.0
MULTI ACTIVITY INSTRUCTOR (GRADE 2),1,25910.0
SENIOR ADMINISTRATOR,1,39893.0
SENIOR ADMINISTRATOR,2,40785.0
SENIOR ADMINISTRATOR,3,42037.0
SENIOR ADMINISTRATOR,4,43282.0
SENIOR ADMINISTRATOR,5,44546.0
SENIOR ADMINISTRATOR,6,45799.0
SENIOR ADMINISTRATOR,7,47069.0
SENIOR ADMINISTRATOR,8,48336.0
SENIOR ADMINISTRATOR,9,49613.0
SENIOR ADMINISTRATOR,10,50660.0
SENIOR ADMINISTRATOR,11,51944.0
SENIOR ADMINISTRATOR,12,53265.0
ASSISTANT LIBRARIAN 2,1,58657.0
ASSISTANT LIBRARIAN 2,2,60174.0
ASSISTANT LIBRARIAN 2,3,61704.0
ASSISTANT LIBRARIAN 2,4,63240.0
ASSISTANT LIBRARIAN 2,5,64776.0
ASSISTANT LIBRARIAN 2,6,66317.0
ASSISTANT LIBRARIAN 2,7,68510.0
ASSISTANT LIBRARIAN 2,8,72779.0
ASSISTANT LIBRARIAN 2,9,77291.0
ASSISTANT LIBRARIAN 2,10,79691.0
ASSISTANT LIBRARIAN 2,11,83397.0
ASSISTANT PROFESSOR,1,46955.0
ASSISTANT PROFESSOR,2,49543.0
ASSISTANT PROFESSOR,3,51676.0
ASSISTANT PROFESSOR,4,53644.0
ASSISTANT PROFESSOR,5,55689.0
ASSISTANT PROFESSOR,6,57323.0
ASSISTANT PROFESSOR,7,58990.0
ASSISTANT PROFESSOR,8,60654.0
ASSISTANT PROFESSOR,9,62314.0
ASSISTANT PROFESSOR,10,63965.0
SENIOR TECHNICAL OFFICER,11,60654.0
SENIOR TECHNICAL OFFICER,12,62799.0
SENIOR TECHNICAL OFFICER,13,65107.0
SENIOR TECHNICAL OFFICER,14,67470.0
SENIOR TECHNICAL OFFICER,15,69827.0
TEACHING FELLOW,1,62069.0
TEACHING FELLOW,2,73092.0
TEACHING FELLOW,3,77007.0
TEACHING FELLOW,4,79703.0
TEACHING FELLOW,5,83634.0
TEACHING FELLOW,6,87605.0
TEACHING FELLOW,7,91562.0
TEACHING FELLOW,8,95514.0
TEACHING FELLOW,9,99471.0
EPS CATEGORY SPECIALIST HIGHER,1,58656.0
EPS CATEGORY SPECIALIST HIGHER,2,60174.0
EPS CATEGORY SPECIALIST HIGHER,3,61704.0
EPS CATEGORY SPECIALIST HIGHER,4,63240.0
EPS CATEGORY SPECIALIST HIGHER,5,64775.0
EPS CATEGORY SPECIALIST HIGHER,6,66318.0
EPS CATEGORY SPECIALIST HIGHER,7,68510.0
EPS CATEGORY SPECIALIST HIGHER,8,72779.0
PROFESSOR,1,101447.0
PROFESSOR,2,108276.0
PROFESSOR,3,115107.0
PROFESSOR,4,121935.0
PROFESSOR,5,128770.0
PROFESSOR,6,135598.0
GROUNDS FOREPERSON,1,49333.0
GROUNDS FOREPERSON,2,50369.0
GROUNDS FOREPERSON,3,51204.0
GROUNDS FOREPERSON,4,52137.0
GROUNDS FOREPERSON,5,53117.0
GROUNDS FOREPERSON,6,54078.0
SENIOR ADMINISTRATIVE OFFICER II,1,94941.0
SENIOR ADMINISTRATIVE OFFICER II,2,98703.0
SENIOR ADMINISTRATIVE OFFICER II,3,102487.0
SENIOR ADMINISTRATIVE OFFICER II,4,106270.0
SENIOR ADMINISTRATIVE OFFICER II,5,110030.0
SENIOR ADMINISTRATIVE OFFICER II,6,113810.0
SENIOR ADMINISTRATIVE OFFICER II,7,117589.0
SENIOR ADMINISTRATIVE OFFICER II,8,121368.0
